time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.075783,0.331309,-0.928235,-9.740559
0.130917,0.360789,-0.940955,-9.866109
0.142902,0.379195,-0.902946,-9.739362
0.173581,0.351661,-0.984800,-9.866109
0.206929,0.364979,-0.907136,-9.865511
0.240235,0.346274,-0.910428,-9.642842
0.273574,0.342084,-1.002159,-9.706889
0.306993,0.372761,-0.927487,-9.723350
0.340371,0.387426,-0.912972,-9.752380
0.374037,0.411518,-0.882145,-9.867306
0.406898,0.354354,-0.997520,-9.662445
0.440263,0.266065,-0.925991,-9.844411
0.473575,0.413015,-0.936765,-9.722302
0.507070,0.423041,-0.840694,-9.873591
0.540324,0.374706,-0.982406,-9.721853
0.573846,0.437556,-0.851169,-9.836031
0.606972,0.426931,-1.071743,-9.834086
0.640848,0.363782,-0.925991,-9.836480
0.673701,0.319488,-0.944846,-9.792335
0.706981,0.366775,-0.916413,-9.795777
0.740653,0.389970,-0.935867,-9.699257
0.773639,0.346723,-0.904442,-9.851145
0.807054,0.376801,-0.899354,-9.862667
0.840299,0.301231,-0.998567,-9.790390
0.874333,0.315896,-0.873616,-9.800566
0.906923,0.367074,-0.843687,-9.707039
0.940438,0.328167,-0.955470,-9.808796
0.973798,0.365727,-0.817649,-9.802212
1.006980,0.385031,-0.865684,-9.738613
1.040756,0.369468,-0.811663,-9.828549
1.073648,0.448779,-0.937513,-9.855634
1.107230,0.350164,-0.870772,-9.717065
1.140379,0.371713,-0.822288,-9.806252
1.173761,0.388922,-0.864188,-9.780364
1.206939,0.345526,-0.878105,-9.752231
1.240248,0.458356,-0.831117,-9.760461
1.273768,0.422891,-0.929133,-9.619498
1.307036,0.328616,-1.207619,-9.497239
1.340293,0.435162,-0.980311,-9.858178
1.373648,0.495318,-1.042413,-9.726343
1.407226,0.542156,-0.978366,-9.855933
1.440293,0.527491,-0.635833,-10.121999
1.474312,0.581812,-0.974325,-9.785152
1.507105,0.543354,-0.977318,-9.568918
1.540784,0.664265,-0.940805,-9.887807
1.573704,0.605306,-1.038522,-9.847853
1.607067,0.596776,-1.077729,-9.697910
1.640654,0.620120,-0.898456,-9.861919
1.673665,0.657681,-1.064710,-9.860273
1.707065,0.602163,-1.032985,-9.774228
1.740546,0.683419,-0.938561,-9.887508
1.773879,0.653191,-0.985399,-9.821516
1.806922,0.607550,-0.945743,-9.655561
1.840301,0.654389,-1.045555,-9.868503
1.873847,0.640921,-0.802984,-9.807000
1.906960,0.616529,-0.854461,-9.729784
1.942104,0.577921,-0.966245,-9.715568
1.973579,0.615332,-0.855060,-9.676212
2.006928,0.592885,-0.900102,-9.819570
2.040315,0.591539,-0.918059,-9.786948
2.073621,0.669652,-0.828274,-9.843663
2.106943,0.632391,-0.904292,-9.743402
2.140324,0.667557,-0.874214,-9.766447
2.174412,0.691201,-0.946043,-9.783656
2.207037,0.641070,-0.939309,-9.750435
2.240256,0.632241,-0.924644,-9.817326
2.273624,0.632391,-1.107059,-9.752680
2.306991,0.679678,-0.946492,-9.841418
2.340351,0.664265,-0.943948,-9.923572
2.374076,0.643914,-1.092244,-9.526869
2.406983,0.662619,-1.003955,-9.837677
2.440323,0.649301,-0.935568,-9.881522
2.473715,0.663666,-0.967591,-9.729784
2.506938,0.577622,-1.000962,-9.701053
2.540243,0.560862,-1.012035,-9.783955
2.573607,0.511779,-0.986297,-9.698958
2.606908,0.530933,-1.108854,-9.777969
2.640385,0.527192,-0.982107,-9.719459
2.673655,0.548441,-1.100624,-9.630870
2.707036,0.502501,-1.029244,-9.719160
2.740233,0.557869,-1.099876,-9.704495
2.773697,0.571486,-0.984202,-9.760312
2.807035,0.456261,-1.000662,-9.755822
2.841361,0.571486,-0.992582,-9.690279
2.873749,0.517316,-0.981658,-9.785601
2.906915,0.497862,-1.059921,-9.723050
2.940450,0.583308,-0.903245,-9.798471
2.973826,0.516268,-0.996023,-9.956643
3.006998,0.419748,-1.080721,-9.628177
3.040245,0.430223,-0.972530,-9.787846
3.073985,0.483945,-0.991983,-9.855634
3.107016,0.386228,-0.956069,-9.712875
3.140441,0.482150,-0.896511,-9.785003
3.173646,0.329065,-0.951879,-9.850846
3.206969,0.434114,-0.878554,-9.767644
3.240330,0.361238,-1.038372,-9.722003
3.273633,0.386378,-0.968489,-9.750285
3.306999,0.399846,-0.928684,-9.799368
3.340239,0.410321,-0.910128,-9.857729
3.373591,0.333704,-0.881247,-9.755523
3.406933,0.293450,-0.855958,-9.746993
3.440228,0.289559,-0.896062,-9.878230
3.473577,0.295844,-0.850421,-9.800117
3.506957,0.269208,-0.938710,-9.796525
3.540280,0.277438,-0.913421,-9.850846
3.573594,0.276391,-0.914019,-9.841418
3.606921,0.250203,-0.934371,-9.790988
3.640227,0.282077,-0.873765,-9.843962
3.673565,0.250951,-0.935119,-9.758665
3.706818,0.203514,-0.937812,-9.714222
3.740212,0.265167,-0.950831,-9.851893
3.773593,0.170443,-0.976121,-9.726492
3.806840,0.111185,-0.946192,-9.726043
3.840257,0.166702,-0.942900,-9.744449
3.873592,0.138270,-0.947838,-9.721554
3.906891,0.165954,-0.892022,-9.740858
3.940362,0.114178,-0.908782,-9.816428
3.973619,0.101458,-0.955919,-9.709583
4.006948,0.189448,-0.885138,-9.705692
4.040243,0.228654,-0.869126,-9.830943
4.073667,0.254094,-0.874364,-9.834834
4.106941,0.140515,-0.952178,-9.860273
4.140269,0.196032,-0.938261,-9.788444
4.173735,0.256488,-0.899055,-9.810891
4.206992,0.195733,-0.843388,-9.806102
4.240531,0.229403,-0.868079,-9.850247
4.273761,0.293599,-0.890974,-9.817026
4.306980,0.209650,-0.894117,-9.803409
4.340287,0.156377,-0.949335,-9.782309
4.373750,0.224614,-0.884390,-9.799069
4.406992,0.286866,-0.897708,-9.822563
4.440646,0.276839,-0.843088,-9.840670
4.473649,0.263671,-0.826179,-9.800416
4.507434,0.247509,-0.897858,-9.806402
4.540414,0.212643,-0.974026,-9.771984
4.573692,0.190346,-0.943798,-9.764950
4.606993,0.245115,-0.945444,-9.841268
4.641553,0.172538,-0.942751,-9.739511
4.673654,0.232395,-0.903095,-9.804307
4.707419,0.293899,-0.837402,-9.844261
4.740264,0.231348,-0.883642,-9.838724
4.773684,0.229403,-0.992133,-9.793083
4.807485,0.244217,-0.867630,-9.811340
4.840276,0.226110,-0.940057,-9.813584
4.873641,0.130189,-0.973278,-9.689530
4.907043,0.180769,-0.908033,-9.780813
