time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.029435,0.288512,-2.647633,-9.510857
0.042486,0.287165,-2.645238,-9.379470
0.076087,0.058361,-2.791140,-9.011498
0.109337,0.149493,-2.384261,-9.882719
0.142761,0.167151,-2.628329,-9.557545
0.176071,0.199175,-2.850997,-9.220250
0.209242,0.262174,-2.771986,-9.291331
0.242414,0.212194,-2.585680,-9.067016
0.276085,0.234191,-2.765102,-8.923508
0.309716,0.581961,-2.822266,-9.703747
0.342694,0.527641,-2.726345,-9.972056
0.376029,0.480354,-2.585232,-10.001087
0.409754,0.172089,-2.681153,-9.354330
0.443104,0.073924,-2.614262,-9.109215
0.476243,0.319039,-2.769741,-9.252423
0.509593,0.270854,-2.889306,-9.014042
0.542704,0.262923,-2.985078,-8.944758
0.576176,0.147997,-2.669181,-9.333081
0.609325,0.260229,-2.736221,-9.334278
0.642699,0.139467,-2.769442,-9.438430
0.676101,0.179123,-2.678459,-9.786948
0.709363,0.151139,-2.673671,-9.617552
0.742692,-0.011822,-2.657060,-9.339665
0.776043,0.028133,-2.731433,-9.083477
0.809330,0.197678,-2.760015,-9.291929
0.843071,0.361537,-2.836632,-9.428852
0.876042,0.081555,-2.563683,-9.577598
0.909401,-0.033221,-2.681003,-9.349392
0.942693,-0.094125,-2.771836,-9.254518
0.976043,-0.138869,-2.475244,-9.501130
1.009327,-0.032622,-2.704796,-9.414038
1.042690,-0.171341,-2.594809,-9.389197
1.076041,-0.110736,-2.666637,-9.254668
1.109379,-0.065095,-2.661699,-9.500382
1.142661,-0.167301,-2.556500,-9.537344
1.175977,-0.058510,-2.688036,-9.445313
1.209340,-0.168797,-2.606930,-9.178799
1.242706,0.072577,-2.711979,-9.439178
1.276112,-0.043097,-2.731133,-9.332782
1.309414,-0.116123,-2.840971,-9.434090
1.342733,-0.062401,-2.704796,-9.529113
1.376032,-0.049981,-2.714373,-9.352086
1.409551,-0.005986,-2.599298,-9.867755
1.442778,-0.375753,-2.501282,-9.690129
1.476042,-0.985698,-2.474945,-8.974985
1.509350,-0.527192,-2.596904,-9.397876
1.542697,-0.285070,-2.659305,-9.268585
1.576040,-0.123904,-2.702402,-9.360017
1.609594,-0.473171,-2.707041,-9.100835
1.642705,-0.183313,-2.589870,-9.609172
1.676079,-0.284322,-2.470455,-9.304350
1.709722,-0.185408,-2.384111,-9.831392
1.742710,-0.002993,-2.845610,-9.736369
1.776068,-0.367373,-2.828850,-9.405658
1.809078,-0.280132,-2.623391,-9.278012
1.842709,0.017808,-3.001538,-9.035890
1.876178,-0.435311,-2.525225,-9.492451
1.909331,-0.543952,-2.838278,-9.431546
1.942721,-0.208153,-2.891401,-9.105175
1.976032,-0.385480,-3.082196,-9.520733
2.009375,-0.068536,-2.458035,-10.258024
2.042746,-0.288512,-3.027426,-9.421670
2.076038,-0.839796,-3.084889,-8.615094
2.109335,-0.937812,-3.022937,-8.152398
2.143347,-0.914767,-2.969664,-9.175058
2.175989,-0.312754,-2.811791,-10.031315
2.209361,-0.117470,-3.469921,-9.166678
2.241890,-0.731006,-3.365021,-8.102417
2.276084,-0.242571,-2.730236,-10.546835
