time_tick,lac_X_value,lac_Y_value,lac_Z_value
-0.002346,1.467563,1.444512,-3.950060
0.027677,0.666555,0.774617,-4.023531
0.057700,0.536265,1.586023,-1.953733
0.087722,0.364654,2.729847,-0.244358
0.117745,-0.239512,1.730353,1.985520
0.157759,0.348660,1.157260,3.378131
0.197807,0.390539,-0.006770,0.345508
0.217821,0.412153,-0.610905,-0.848982
0.267858,0.876970,-1.423580,-2.140513
0.297880,0.558375,-0.377664,-1.226079
0.327903,0.429468,0.052322,-0.698544
0.367934,0.474305,-0.125267,-0.719059
0.397956,0.716531,-0.304934,-0.614259
0.427978,-0.065080,0.088472,0.613072
0.458002,-0.455345,-0.746789,0.329583
0.488023,-0.503933,-1.765415,0.113250
0.518046,0.321777,-2.069698,0.667625
0.568055,0.266164,-1.557094,0.382387
0.598081,-0.124984,-0.625962,1.389332
0.628116,-0.159319,-0.531226,1.011352
0.658146,0.061493,-0.371716,0.575057
0.688176,-0.140465,-1.106634,2.217642
0.718174,-0.182847,-0.357774,4.250992
0.748203,-1.684384,2.068495,2.059917
0.788249,-0.974301,3.515671,-1.790695
0.828254,1.378691,2.560681,-1.056930
0.868309,1.863576,1.538462,-0.129425
0.898330,2.147173,0.593941,0.663611
0.928353,1.700210,1.700351,0.385271
0.958377,1.876831,-0.050212,-1.605191
0.988399,1.677583,-1.363686,-1.975550
1.018422,0.726159,-0.746664,-1.533971
1.048443,-0.775972,-0.125254,-1.627888
1.088453,-1.174747,-0.690157,-1.275024
1.128506,0.476138,-0.880552,0.042081
1.148504,0.585765,-0.551517,0.316261
1.198556,0.873428,-1.813567,0.910994
1.228579,1.378434,-1.385762,1.135006
1.258579,-0.517534,0.052853,0.562241
1.288624,-1.473038,0.362655,1.048682
1.318632,-1.259412,0.834128,3.875945
1.348669,-0.726416,1.083566,4.172093
1.388700,-1.529701,2.734937,0.664684
1.418723,0.149359,2.431049,-1.451354
1.448746,0.623434,2.091051,-2.099123
1.498782,0.520625,2.805796,-1.436674
1.528805,0.791238,2.387527,-1.539487
1.558827,1.124934,0.528720,-1.028534
1.588850,0.871962,-1.198346,1.263003
1.618870,0.607892,-0.954027,1.514307
1.648872,0.685866,-0.766495,-0.149887
1.678898,0.737345,-0.056217,-1.366142
1.728951,-0.911219,0.478294,-1.901936
1.768986,0.473706,-0.785776,-1.020728
1.799009,1.046655,0.735219,0.499407
1.829031,1.268799,-1.049279,-0.574735
1.859044,0.965014,-1.198098,0.299934
1.889072,1.294732,-0.824533,1.016934
1.919099,1.015831,-0.483177,2.137466
1.949120,0.819037,-0.765454,3.488132
1.979143,0.503351,-1.115907,4.361535
2.029182,2.061432,0.583939,2.538989
2.069199,0.681626,2.204883,0.695622
2.079217,0.869296,2.107713,-0.052678
2.129256,1.615005,1.266368,-0.970923
2.159278,2.711773,1.682557,-1.097051
2.189300,3.395195,2.930009,-0.835858
2.219271,3.383906,3.985225,-0.941052
2.249293,2.838807,3.915898,-1.153083
2.289320,1.286977,2.763754,-1.699411
2.319319,0.216812,2.340974,-2.030791
2.349348,-1.121403,1.867625,-1.713154
2.399406,-0.548309,1.434554,0.878393
2.429429,-1.125958,0.782276,-0.434872
2.459451,-1.499120,0.354446,-0.764123
2.489473,-1.895253,-0.438177,-0.847946
2.519496,-1.931195,-1.212511,0.865494
2.559523,-2.558528,-1.410085,1.380739
2.589522,-1.842537,-1.646065,0.962065
2.619572,-1.002660,-1.286011,0.816778
2.669582,-0.831635,-1.343516,-0.839916
2.699631,-0.871689,-1.078171,-0.781987
2.729651,-0.299656,-0.022820,0.036166
2.759655,-0.956250,0.813174,-0.541269
2.799707,-2.114160,-1.502295,-0.755632
2.829730,-1.857120,-2.798319,-1.162757
2.849723,-1.220945,-2.826975,-1.756330
2.889774,-0.111264,-1.491955,-2.501347
