time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.025572,-0.340887,-0.171640,-9.921776
0.058804,-0.295994,-0.323827,-9.754775
0.092239,-0.439052,-0.236885,-9.825556
0.125559,-0.423190,-0.278785,-9.832888
0.159050,-0.366176,-0.249604,-9.808048
0.192251,-0.388922,-0.310060,-9.805055
0.224924,-0.447582,-0.304224,-9.753278
0.258891,-0.504147,-0.297041,-9.730383
0.291263,-0.258284,-0.262324,-9.830045
0.325735,-0.476762,-0.278785,-9.807299
0.358878,-0.291953,-0.213391,-9.745048
0.392226,-0.321134,-0.282077,-9.976546
0.424836,-0.445188,-0.239878,-9.899031
0.458875,-0.713647,-0.317542,-9.836330
0.492340,-0.901748,-0.322929,-9.928660
0.525546,-1.303240,-0.370666,-9.857729
0.558912,-1.448544,-0.313352,-9.669778
0.592291,-1.379109,-0.235089,-9.729485
0.625815,-1.654602,-0.307965,-9.837378
0.658880,-1.476527,-0.380841,-9.666037
0.692287,-1.428043,-0.332507,-9.672172
0.725018,-1.488349,-0.174933,-9.724996
0.758889,-1.287977,-0.213840,-9.697462
0.792785,-1.690217,-0.233293,-9.717214
0.825554,-1.651460,-0.065993,-9.863715
0.858881,-1.556736,-0.266963,-9.589270
0.892347,-1.473235,-0.257835,-9.546023
0.925641,-1.885202,-0.242422,-9.811340
0.958880,-1.431634,-0.072278,-9.733077
0.992276,-1.439266,-0.183612,-9.335026
1.025557,-0.484993,-0.215635,-9.932102
1.058921,-1.159583,-0.090684,-9.873442
1.092035,-1.042113,-0.303177,-9.851893
1.126049,-0.820343,-0.188101,-9.933748
1.158206,-0.860297,-0.339390,-9.915491
1.192287,-1.010539,-0.264120,-9.948712
1.225647,-1.107807,-0.193488,-9.641196
1.258884,-1.483111,0.013468,-9.880026
1.292675,-0.864188,-0.237783,-10.022187
1.325626,-0.742229,-0.317093,-9.768542
1.358877,-0.890675,-0.282227,-10.008569
1.392312,-0.798195,-0.328317,-9.896936
1.425557,-0.638526,-0.140814,-9.824508
1.458644,-0.922549,-0.138420,-9.782010
