time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.024897,0.439950,-0.130938,-10.014256
0.044815,0.376352,-0.306618,-9.863864
0.078116,0.334302,-0.343131,-9.760461
0.110534,0.274146,-0.324725,-9.508762
0.144150,0.184210,-0.338343,-9.453693
0.178099,0.079460,-0.273547,-9.659752
0.210750,-0.063000,-0.191094,-9.877931
0.244022,-0.071679,-0.124802,-9.868503
0.278278,-0.065394,0.146201,-9.560688
0.311526,-0.017957,0.184809,-9.500831
0.344824,-0.211296,-0.036962,-9.531956
0.378141,-0.098914,-0.263821,-9.953800
0.411528,0.029480,-0.290008,-9.978042
0.444080,0.223567,-0.127645,-9.897085
0.478090,0.348219,-0.045491,-10.039994
0.510851,0.253944,-0.170892,-10.072167
0.544762,0.266364,-0.328317,-10.041341
0.578102,0.188700,-0.320236,-10.049272
0.611430,-0.024093,-0.163410,-9.898432
0.644029,-0.066441,-0.004639,-9.814333
0.678188,-0.035765,0.139318,-9.755224
0.711488,-0.046689,0.254094,-9.666785
0.744836,-0.015713,0.213690,-9.528814
0.777651,0.201569,0.107144,-9.686089
0.811445,0.249305,-0.067788,-9.861620
0.844825,0.249455,-0.215935,-9.871047
0.877762,0.354354,-0.339839,-9.987170
0.911445,0.401043,-0.311257,-10.020092
0.944804,0.373658,-0.314549,-9.867157
0.978189,0.357946,-0.196631,-9.817625
1.011513,0.183762,-0.162063,-9.720806
1.044863,0.176429,-0.172538,-9.626231
1.078879,0.245265,-0.096220,-9.566225
1.111479,0.134679,-0.245265,-9.756122
1.144839,0.060755,-0.283124,-9.835283
1.178180,0.020202,-0.258134,-9.887807
1.211516,-0.097268,0.120163,-9.903221
1.244847,0.097866,0.441596,-9.944672
1.278171,0.040254,0.461798,-9.978042
1.311519,-0.007482,0.237783,-9.933598
1.344844,-0.159220,0.152935,-9.828848
1.378185,-0.151888,0.218628,-9.755673
1.411507,0.000000,0.349566,-9.521631
1.445083,0.166852,-0.017957,-9.608274
1.478192,0.272500,-0.191693,-9.638502
1.511568,0.393860,-0.320086,-9.692224
1.544840,0.503549,-0.322929,-9.972356
1.578183,0.625208,-0.327419,-10.022037
1.611507,0.573282,-0.340737,-9.994503
1.644839,0.414062,-0.352259,-9.847104
1.678180,0.491427,-0.276391,-9.749986
1.711475,0.584206,0.083052,-9.617403
1.744821,0.477810,0.257685,-9.725145
1.778165,0.436508,0.158472,-10.003481
1.811636,0.424836,0.002095,-9.918035
1.844902,0.374706,-0.079011,-9.782908
1.878185,0.316345,0.114477,-9.618600
1.911509,0.458506,0.423639,-9.663044
1.944810,0.397751,0.467036,-9.927762
1.978172,0.540361,0.462546,-10.061094
2.011481,0.611291,0.194386,-10.018146
2.044815,0.708859,0.042050,-9.779167
2.078187,0.890376,-0.051328,-9.651222
2.111503,1.127560,-0.049382,-9.689530
2.144850,1.206272,-0.100859,-9.761958
2.178183,1.154196,-0.070482,-9.746694
2.211524,1.356364,0.025290,-9.912050
2.244850,1.314613,0.004340,-10.031614
2.278188,1.016375,-0.017508,-10.097158
