"","time_tick","acc_X_value","acc_Y_value","acc_Z_value","train","color"
"1",0.031334,0.736692,-1.073838,-10.19278,"A","blue"
"2",0.063859,0.672196,-0.906238,-9.954398,"A","blue"
"3",0.096982,0.716939,-0.82124,-9.011349,"A","blue"
"4",0.130572,1.066954,-0.514173,-10.132174,"A","blue"
"5",0.163948,0.749562,-0.874962,-10.848365,"A","blue"
"6",0.197235,0.601565,-0.937663,-9.736219,"A","blue"
"7",0.229622,0.686412,-0.660973,-9.00671,"A","blue"
"8",0.263859,0.870174,-0.336996,-10.019792,"A","blue"
"9",0.297365,0.635534,-0.378297,-9.930605,"A","blue"
"10",0.330512,1.012035,-0.212643,-10.312494,"A","blue"
"11",0.363835,1.096135,-0.077216,-9.63925,"A","blue"
"12",0.397239,0.677134,-0.247509,-9.291929,"A","blue"
"13",0.430589,0.931078,-0.130189,-10.030866,"A","blue"
"14",0.463862,0.644213,-0.152636,-9.717214,"A","blue"
"15",0.496524,0.613386,-0.128843,-9.327544,"A","blue"
"16",0.530569,0.505943,-0.042798,-9.194512,"A","blue"
"17",0.563831,0.763478,-0.260528,-10.438942,"A","blue"
"18",0.597237,0.503249,-0.401342,-10.667896,"A","blue"
"19",0.630735,0.183911,-0.340288,-9.964873,"A","blue"
"20",0.66385,0.60336,0.203514,-10.033111,"A","blue"
"21",0.697225,0.640322,0.254692,-9.805354,"A","blue"
"22",0.730491,0.63703,0.084548,-9.574605,"A","blue"
"23",0.763834,0.698533,-0.259481,-9.692972,"A","blue"
"24",0.797141,0.656933,-0.488584,-9.787098,"A","blue"
"25",0.830566,0.584206,-0.553978,-9.636557,"A","blue"
"26",0.863891,0.613386,-0.471675,-9.715568,"A","blue"
"27",0.897224,0.226559,-0.325024,-7.44743,"A","blue"
"28",0.930919,-0.306618,-0.571187,-6.831051,"A","blue"
"29",0.963844,1.029992,0.266963,-12.580333,"A","blue"
"30",0.997147,0.88005,-0.031126,-8.912435,"A","blue"
"31",1.030581,0.661571,-0.634037,-8.559128,"A","blue"
"32",1.063819,0.508487,-0.979712,-9.626381,"A","blue"
"33",1.097136,0.40239,-1.004703,-10.744663,"A","blue"
"34",1.130459,0.922698,-0.371264,-10.089376,"A","blue"
"35",1.163848,0.707961,-0.302428,-9.686987,"A","blue"
"36",1.197242,0.57852,0.127496,-9.297316,"A","blue"
"37",1.229912,0.823635,0.98495,-9.89933,"A","blue"
"38",1.263841,0.720381,0.532579,-9.634761,"A","blue"
"39",1.297177,0.703621,-0.054769,-9.421071,"A","blue"
"40",1.330522,0.796998,-0.442494,-10.396743,"A","blue"
"41",1.363874,0.567596,-0.352708,-10.661012,"A","blue"
"42",1.396348,0.09203,0.319937,-9.561586,"A","blue"
"43",1.430519,0.394309,-0.597375,-9.30839,"A","blue"
"44",1.463838,0.846381,-0.666959,-10.283014,"A","blue"
"45",1.497234,0.983154,-0.222968,-10.631084,"A","blue"
"46",1.530464,0.694044,-0.31006,-9.943624,"A","blue"
"47",1.5639,0.355402,-0.636132,-9.35433,"A","blue"
"48",1.597256,0.354055,-1.003805,-9.771385,"A","blue"
"49",1.630508,0.68297,-0.750759,-9.707488,"A","blue"
"50",1.663971,0.743725,-0.615332,-9.390095,"A","blue"
"51",1.69719,0.986147,-0.749412,-9.196008,"A","blue"
"52",1.730502,1.354269,-0.829172,-9.370342,"A","blue"
"53",1.763829,1.108106,-0.426782,-9.005513,"A","blue"
"54",1.797366,1.084462,-0.613835,-9.975797,"A","blue"
"55",1.830507,1.125914,-0.285668,-10.313841,"A","blue"
"56",1.863797,0.84234,0.398948,-10.52364,"A","blue"
"57",1.897172,0.751657,0.598572,-9.826005,"A","blue"
"58",1.930515,0.890525,0.336697,-9.583883,"A","blue"
"59",1.963853,1.130852,0.246312,-9.478384,"A","blue"
"60",1.997165,1.209115,-0.359742,-9.90352,"A","blue"
"61",2.030509,0.81286,-1.573945,-10.21373,"A","blue"
"62",2.063855,0.547992,-1.570203,-9.381266,"A","blue"
"63",2.097181,0.43172,-1.422207,-9.394883,"A","blue"
"64",2.130506,0.817799,-1.018021,-9.875237,"A","blue"
"65",2.163749,0.761533,-0.197529,-10.017697,"A","blue"
"66",2.197083,0.586002,-0.042349,-9.666186,"A","blue"
"67",2.230033,0.686263,0.868827,-9.552757,"A","blue"
"68",2.263763,1.030292,0.421694,-9.409997,"A","blue"
"69",2.297094,1.337958,-0.068088,-10.352449,"A","blue"
"70",2.330429,1.155543,0.031425,-10.777884,"A","blue"
"71",2.363788,0.902197,0.033071,-9.904717,"A","blue"
"72",2.397035,0.673992,0.281179,-9.176105,"A","blue"
"73",2.430511,0.430972,0.389221,-9.489757,"A","blue"
"74",2.463796,0.113878,-0.139467,-9.836629,"A","blue"
"75",2.497251,0.049382,-0.174334,-10.034906,"A","blue"
"76",2.530474,0.323678,-0.289409,-9.913696,"A","blue"
"77",2.563845,0.523601,0.634037,-9.126873,"A","blue"
"78",2.59679,-0.08395,0.081256,-9.624436,"A","blue"
"79",2.629662,0.366775,-0.183313,-10.147288,"A","blue"
"80",2.663839,0.471525,0.316944,-10.775489,"A","blue"
"81",2.696594,0.402839,0.271303,-10.765463,"A","blue"
"82",2.729624,0.68746,0.247061,-9.248383,"A","blue"
"83",2.763838,0.253794,1.086258,-9.305846,"A","blue"
"84",2.797167,0.694792,0.646009,-10.442534,"A","blue"
"85",2.830511,0.279084,0.082154,-9.419575,"A","blue"
"86",2.863833,0.055218,0.149194,-9.321858,"A","blue"
"87",2.897175,0.682073,-0.217581,-10.983792,"A","blue"
"88",2.930504,0.813459,-0.271303,-11.191197,"A","blue"
"89",2.963858,0.326222,0.501154,-7.654536,"A","blue"
"90",2.997252,0.906986,1.851831,-11.497666,"A","blue"
"91",3.03052,0.441147,0.596028,-11.874168,"A","blue"
"92",3.063837,0.439352,-0.53228,-9.011199,"A","blue"
"93",3.097231,0.70826,-0.351212,-8.547605,"A","blue"
"94",3.130476,0.761832,-0.861494,-9.247784,"A","blue"
"95",3.16384,0.82962,-0.487537,-9.122084,"A","blue"
"96",3.196809,0.794903,0.295844,-10.32686,"A","blue"
"97",3.230521,0.413912,-0.308414,-9.908308,"A","blue"
"98",3.263839,0.548142,-0.361837,-9.447259,"A","blue"
"99",3.296631,0.38159,-0.232246,-10.317881,"A","blue"
"100",3.330507,0.668156,0.330711,-9.445164,"A","blue"
"101",3.363876,1.277502,0.07123,-8.92695,"A","blue"
"102",3.397245,-0.21788,-0.06285,-10.506731,"A","blue"
"103",3.430473,-0.3563,-0.295844,-9.692673,"A","blue"
"104",3.463837,-0.43576,-0.340438,-9.406855,"A","blue"
"105",3.497167,-0.359442,-0.331459,-9.693122,"A","blue"
"106",3.530527,-0.376202,-0.351062,-9.680851,"A","blue"
"107",3.563844,-0.186904,-0.267861,-9.462672,"A","blue"
"108",3.596821,-0.084249,-0.249156,-9.81538,"A","blue"
"109",3.630506,-0.129142,-0.249156,-10.022037,"A","blue"
"110",3.662864,-0.174633,-0.257984,-9.355078,"A","blue"
"111",3.697148,-0.206956,-0.297191,-9.912798,"A","blue"
"112",3.730506,-0.089187,-0.335948,-10.258922,"A","blue"
"113",3.763806,0.054919,-0.332207,-9.774079,"A","blue"
"114",3.797441,0.325024,-0.327119,-9.560987,"A","blue"
"115",3.830478,0.55727,-0.722626,-10.746309,"A","blue"
"116",3.863842,0.504147,-0.538864,-10.369658,"A","blue"
"117",3.897245,0.521805,-0.319787,-9.465814,"A","blue"
"118",3.930475,0.688358,-0.439651,-10.295734,"A","blue"
"119",3.963644,0.328167,-0.474518,-9.307043,"A","blue"
"120",3.997167,0.360939,-0.437107,-9.417928,"A","blue"
"121",4.030279,0.472123,-0.341485,-10.59502,"A","blue"
"122",4.063835,0.38578,-0.15518,-10.254133,"A","blue"
"123",4.096659,0.304673,0.068088,-9.853389,"A","blue"
"124",4.130505,0.173885,-0.315896,-9.941828,"A","blue"
"125",4.163861,-0.157275,-0.323678,-9.749687,"A","blue"
"126",4.197246,-0.101009,-0.235688,-9.827501,"A","blue"
"127",4.230476,0.077964,-0.187503,-9.844261,"A","blue"
"128",4.263919,0.221023,-0.079161,-9.600493,"A","blue"
"129",4.297141,0.562209,-0.171192,-9.073301,"A","blue"
"130",4.330505,0.630296,-0.364081,-9.981334,"A","blue"
"131",4.363835,0.64137,-0.345675,-10.330601,"A","blue"
"132",4.397002,0.770811,0.0211,-10.148186,"A","blue"
"133",4.430516,0.960857,0.04624,-9.891997,"A","blue"
"134",4.463813,0.785027,0.132584,-9.59765,"A","blue"
"135",4.497241,0.560712,0.251101,-9.479282,"A","blue"
"136",4.530471,0.45252,0.172987,-9.075097,"A","blue"
"137",4.563929,0.183313,0.177327,-9.042624,"A","blue"
"138",4.597137,0.001197,0.121061,-9.040379,"A","blue"
"139",4.630458,0.022596,0.11732,-10.20535,"A","blue"
"140",4.663846,0.129142,0.588396,-10.7918,"A","blue"
"141",4.697395,0.239878,0.884839,-9.960833,"A","blue"
"142",4.730459,0.238681,0.779191,-9.342359,"A","blue"
"143",4.763842,0.104002,0.456261,-9.583733,"A","blue"
"144",4.797199,-0.063898,0.175082,-10.239768,"A","blue"
"145",4.830509,-0.099213,0.522404,-10.215376,"A","blue"
"146",4.863001,0.030976,0.522703,-9.775725,"A","blue"
"147",4.897186,0.267861,0.219526,-9.401468,"A","blue"
"148",4.930475,0.1465,-0.136774,-10.243359,"A","blue"
"149",4.963539,0.058211,-0.327119,-10.206996,"A","blue"
"150",4.99724,0.157125,-0.290756,-9.35433,"A","blue"
"151",5.032576,0.298089,-0.257536,-9.560688,"A","blue"
"152",5.063827,0.143059,-0.338343,-10.976011,"A","blue"
"153",5.097217,0.049083,-0.338043,-10.828613,"A","blue"
"154",5.130498,0.197529,-0.145603,-10.104939,"A","blue"
"155",5.163836,0.170743,-0.316944,-9.484819,"A","blue"
"156",5.197234,0.138569,-0.347022,-9.787547,"A","blue"
"157",5.230402,0.030527,-0.498311,-10.747207,"A","blue"
"158",5.263838,-0.002245,-0.451473,-10.249195,"A","blue"
"159",5.297252,0.158173,-0.386528,-9.265442,"A","blue"
"160",5.330298,0.126299,-0.655735,-9.049508,"A","blue"
"161",5.36384,-0.034867,-0.723973,-9.94976,"A","blue"
"162",5.397243,-0.118218,-0.438155,-9.807748,"A","blue"
"163",5.430425,-0.074522,-0.339241,-9.227583,"A","blue"
"164",5.463835,0.03337,-0.252747,-9.772882,"A","blue"
"165",5.497241,-0.073924,-0.060007,-9.996747,"A","blue"
"166",5.53049,-0.079909,0.061952,-9.359418,"A","blue"
"167",5.563834,0.017209,-0.130638,-9.364057,"A","blue"
"168",5.597072,-0.045043,-0.273847,-9.522529,"A","blue"
"169",5.630398,-0.034717,-0.317692,-9.286542,"A","blue"
"170",5.663799,0.005238,-0.336098,-9.634013,"A","blue"
"171",5.697203,-0.007632,-0.073774,-9.585828,"A","blue"
"172",5.730511,0.051028,0.093826,-9.607526,"A","blue"
"173",5.762973,0.034568,0.08784,-9.611118,"A","blue"
"174",5.797249,0.084099,0.090833,-9.951406,"A","blue"
"175",5.830474,0.012121,0.077066,-10.325513,"A","blue"
"176",5.862966,0.137372,0.049831,-9.585678,"A","blue"
"177",5.897233,0.152187,-0.252747,-10.227497,"A","blue"
"178",5.930316,0.059109,-0.322032,-10.189039,"A","blue"
