time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.031296,2.677561,-3.778185,-8.535783
0.064711,2.136752,-3.391807,-8.591451
0.097895,1.596241,-3.288553,-8.613448
0.131228,1.759951,-3.646948,-8.798856
0.164572,1.323742,-3.585595,-8.888043
0.197934,1.777160,-3.951771,-8.512140
0.231365,1.589208,-3.760827,-8.113641
0.264561,1.910342,-3.631685,-8.314910
0.297981,1.819209,-3.551476,-7.772305
0.331253,1.243084,-2.941382,-6.552416
0.364583,1.758454,-3.494462,-8.090147
0.398120,2.170272,-3.306361,-9.579094
0.431607,2.945721,-4.727969,-10.575866
0.465019,1.286780,-3.930522,-7.673241
0.497964,1.609859,-3.790905,-8.803046
0.531362,0.864188,-3.403180,-10.218518
0.565311,2.212621,-3.840287,-9.299561
0.598141,1.767433,-3.579160,-9.717963
0.631404,1.685877,-3.392705,-9.466114
0.664646,1.687823,-3.224057,-9.697611
0.698029,1.097032,-3.251442,-9.406855
0.731766,1.396318,-3.350057,-9.429750
0.764710,1.266728,-3.532471,-8.835069
0.798470,1.062016,-3.366368,-9.740708
0.831456,0.889927,-3.246204,-9.012845
0.864787,0.779939,-3.301123,-8.540123
0.898083,0.816302,-3.293342,-8.646220
0.931239,1.032536,-3.278827,-9.051154
0.964901,1.002608,-3.435952,-9.432743
0.998135,1.072940,-3.750202,-8.988603
1.031314,0.906088,-3.534866,-9.240751
1.064985,0.998867,-3.302620,-9.458931
1.098173,0.885886,-3.208644,-9.072403
1.132455,0.833062,-3.257727,-8.928895
1.167745,1.092094,-2.880028,-9.215911
1.198120,1.648467,-2.543481,-9.115650
1.231424,1.469793,-2.974303,-9.103229
1.264815,1.243533,-3.287805,-9.067614
1.297991,0.884689,-3.010218,-9.208129
1.331443,1.057976,-3.414852,-9.003717
1.364743,1.213754,-3.018149,-9.379021
1.398913,1.285283,-3.142352,-9.433192
1.431424,1.022510,-3.253986,-9.645236
1.464726,0.797747,-3.135020,-9.269932
1.498086,0.631044,-3.149685,-9.202742
1.531280,0.527940,-3.201760,-9.429900
1.565194,0.694942,-3.163751,-9.390993
1.598102,0.557121,-3.214929,-9.384109
1.631461,0.263222,-3.387018,-9.235514
1.664564,0.089935,-3.400935,-8.965708
1.698092,0.099513,-3.207148,-8.986807
1.732192,0.292103,-3.004082,-9.368247
1.766270,0.511629,-1.026401,-10.407667
1.797994,0.628051,-2.688186,-9.279209
1.831720,-0.033071,-2.814185,-8.679441
1.864577,0.253944,-4.223672,-9.457434
1.897989,0.214588,-4.989844,-9.100237
1.931472,-0.005387,-3.217623,-9.703747
1.964734,0.262923,-3.172430,-9.144381
1.997914,-0.202617,-3.019645,-8.669564
2.031472,0.124952,-3.799285,-8.609557
2.064746,-0.298987,-3.561801,-9.039182
2.098411,0.562957,-3.248748,-9.407603
2.131381,-0.487986,-3.340180,-9.242846
2.165364,0.400295,-3.528730,-9.033196
2.197995,0.023494,-3.691691,-9.260953
2.231358,-0.371863,-3.673734,-8.946404
2.264773,-0.724122,-3.760527,-8.695303
2.297951,1.200286,-3.344670,-9.692972
2.331304,-0.664265,-3.059001,-9.118343
2.365048,-1.722540,-2.760314,-9.249431
2.397902,-1.512741,-2.871050,-8.451983
2.431741,-0.602911,-2.760314,-8.463057
2.465320,-0.818846,-2.944225,-8.354416
2.497986,-0.982705,-2.596754,-8.986358
2.531324,-0.909679,-2.799969,-9.087816
2.565189,-1.089251,-2.452199,-9.071954
2.597982,-1.292765,-2.565329,-9.656609
2.631347,-0.896661,-2.605284,-9.696713
2.666019,-0.886934,-2.022574,-9.203640
2.698394,-1.536983,-2.480930,-10.023085
2.731530,-0.561311,-2.937940,-10.033260
2.764895,-0.359891,-2.842917,-10.132773
2.798000,-0.560263,-2.778121,-9.927912
2.831253,-0.505644,-2.578049,-10.210288
2.864749,0.009727,-2.417482,-9.762556
2.898206,-0.745970,-2.175210,-8.907796
2.931305,-0.764825,-2.149621,-10.067828
2.964908,-0.419000,-2.193616,-10.562697
2.998339,-0.213989,-2.147376,-10.358584
3.032392,-0.310210,-2.134806,-9.651671
3.065259,-0.079610,-1.956133,-10.182155
3.097981,0.033221,-1.752020,-9.225338
3.131888,-0.104151,-1.784642,-9.425261
3.165762,0.119116,-1.938924,-9.679205
3.198274,0.327718,-1.520522,-9.226984
3.231327,-0.093228,-1.489097,-8.113042
3.265029,-0.254692,-1.360703,-9.321110
3.298337,0.162512,-3.132476,-12.354522
3.342055,0.775899,-2.637457,-9.202293
3.364545,0.847727,-2.271131,-9.277863
3.397934,0.579567,-1.635298,-9.572809
3.431347,0.481551,-1.697101,-9.437083
3.464621,0.410321,-1.689619,-9.509809
3.497914,0.373509,-1.578135,-9.686238
3.531411,0.061354,-1.767582,-9.744599
3.564818,-0.448330,-1.900765,-9.618151
3.598017,-0.093527,-1.841356,-9.551260
3.631491,-0.030826,-1.639937,-9.707488
3.664749,-0.043247,-1.613450,-9.641196
3.697945,-0.134529,-1.787186,-9.677260
3.731400,-0.152935,-1.794818,-9.610070
3.765173,-0.098764,-1.741545,-9.568619
3.797997,-0.147548,-1.755162,-9.678906
3.831280,-0.074522,-1.679592,-9.617702
3.866733,-0.054470,-1.516781,-9.878679
3.898286,-0.076617,-1.626918,-9.739212
3.932629,-0.076916,-1.675552,-9.680103
3.964975,-0.046689,-1.660737,-9.676661
3.997993,-0.095323,-1.619137,-9.673968
4.031398,-0.070631,-1.654303,-9.731281
4.064714,-0.092779,-1.626918,-9.749837
4.099222,-0.162363,-1.723587,-9.726941
4.131310,-0.097866,-1.658193,-9.771385
4.165142,-0.162961,-1.655799,-9.744749
4.197922,-0.033370,-1.566612,-9.752979
4.231508,-0.067339,-1.545662,-9.712575
4.264685,-0.074223,-1.523814,-9.711079
4.298426,-0.044145,-1.536833,-9.727540
4.331541,-0.039206,-1.552845,-9.697910
4.364979,-0.094125,-1.536833,-9.657656
4.398042,-0.089636,-1.545662,-9.672471
4.431267,-0.010774,-1.514237,-9.717514
4.465251,-0.082753,-1.563918,-9.630421
4.498831,-0.046090,-1.588610,-9.726642
4.531397,-0.112083,-1.659091,-9.650324
4.564608,-0.065843,-1.602077,-9.701203
4.598388,-0.033071,-1.617790,-9.689680
4.631764,-0.060456,-1.606866,-9.736069
4.664987,-0.132733,-1.547308,-9.709882
4.697904,-0.056565,-1.634101,-9.699706
4.731501,-0.066441,-1.591004,-9.700305
4.764988,-0.059408,-1.617940,-9.707637
4.799647,-0.054769,-1.610308,-9.728737
4.831553,-0.048634,-1.571700,-9.724846
4.864827,-0.046240,-1.610906,-9.664989
4.897941,-0.058810,-1.549702,-9.726941
4.931485,-0.067040,-1.580678,-9.766896
4.964725,-0.052076,-1.563170,-9.733376
4.997948,-0.042499,-1.588909,-9.736069
5.031261,-0.061653,-1.572298,-9.706141
5.064873,-0.063598,-1.586963,-9.647630
5.098419,-0.099064,-1.630958,-9.594507
5.131234,-0.053423,-1.625422,-9.745347
5.164611,-0.061653,-1.590705,-9.733226
5.198013,-0.062401,-1.559579,-9.713623
5.231237,-0.059109,-1.610906,-9.799368
5.264708,-0.064795,-1.531296,-9.764352
5.298078,-0.063449,-1.571401,-9.666336
5.331691,-0.047138,-1.617191,-9.625483
5.364848,-0.036513,-1.576488,-9.590766
5.398538,-0.046838,-1.566013,-9.731131
5.431227,-0.074821,-1.611804,-9.645535
5.464673,-0.000898,-1.787635,-9.646733
5.498066,-0.063898,-1.637992,-9.751932
5.531560,-0.053871,-1.556586,-9.691625
5.564943,-0.045342,-1.566163,-9.659153
5.598075,-0.054320,-1.593997,-9.641645
5.631994,-0.048035,-1.580828,-9.655113
5.667168,-0.056864,-1.551947,-9.821216
5.698039,-0.029330,-1.656398,-9.519237
5.731618,-0.073475,-1.613750,-9.934945
5.766596,-0.058959,-1.544166,-9.766447
5.797955,-0.051926,-1.598187,-9.835133
5.831393,-0.067639,-1.633802,-9.710331
5.865588,-0.038758,-1.571850,-9.708834
5.897952,-0.000150,-1.609111,-9.677858
5.931434,-0.090833,-1.538180,-9.640148
5.966347,-0.076617,-1.551498,-9.709433
5.998267,-0.064945,-1.534289,-9.689979
6.031595,-0.065993,-1.515733,-9.747592
6.064817,-0.075869,-1.523814,-9.729186
6.097972,-0.062850,-1.515284,-9.726492
6.139517,-0.049233,-1.545063,-9.697611
6.164564,-0.035465,-1.546410,-9.730832
6.197861,-0.067040,-1.522617,-9.740559
6.231232,-0.078712,-1.521270,-9.722452
6.264680,-0.088439,-1.556287,-9.680402
6.297967,-0.055966,-1.561524,-9.676362
6.332671,-0.070781,-1.565116,-9.739511
6.364597,-0.092779,-1.561674,-9.692673
6.397975,-0.057164,-1.552097,-9.683395
6.431403,-0.067639,-1.532793,-9.697312
6.464836,-0.069584,-1.563918,-9.707488
6.497968,-0.060905,-1.585018,-9.706889
6.533232,-0.053871,-1.497627,-9.698060
6.565185,-0.086045,-1.615845,-9.675015
6.598821,-0.066741,-1.562572,-9.714371
6.631368,-0.063000,-1.605818,-9.683395
6.664860,-0.061054,-1.594296,-9.740110
6.698224,-0.091432,-1.576040,-9.682497
6.733000,-0.050579,-1.568857,-9.735321
6.764746,-0.076168,-1.578583,-9.696115
6.798201,-0.086793,-1.608811,-9.666186
6.832895,-0.033819,-1.600731,-9.676811
6.865181,-0.050729,-1.601180,-9.706141
6.898445,-0.057912,-1.593997,-9.699706
6.931657,-0.079909,-1.602227,-9.642094
6.965471,-0.078413,-1.573645,-9.677709
6.999130,-0.050430,-1.591453,-9.693571
7.032113,-0.042050,-1.615396,-9.688184
7.065096,-0.078862,-1.616593,-9.685191
7.100709,-0.064945,-1.609560,-9.707188
7.131247,-0.063299,-1.613750,-9.693122
7.165494,-0.061204,-1.622279,-9.693122
7.204823,-0.047287,-1.579032,-9.693421
7.231244,-0.063598,-1.583971,-9.708984
7.264893,-0.049233,-1.561225,-9.725594
7.297912,-0.051776,-1.584719,-9.729934
7.333621,-0.114776,-1.580828,-9.683994
7.364583,-0.071829,-1.582025,-9.725445
7.399785,-0.061204,-1.569006,-9.686238
7.431575,-0.072876,-1.518427,-9.732927
7.468723,-0.041900,-1.525460,-9.726343
7.498287,-0.068237,-1.528004,-9.696564
7.531533,-0.064496,-1.496280,-9.723649
7.565141,-0.048484,-1.509299,-9.667982
7.598569,-0.061204,-1.509897,-9.687136
7.631247,-0.052375,-1.514237,-9.667832
7.665167,-0.056565,-1.525610,-9.701053
7.698566,-0.056116,-1.519474,-9.687585
7.731225,-0.045342,-1.504660,-9.696414
7.765313,-0.058810,-1.496579,-9.699557
7.798838,-0.024541,-1.502714,-9.689530
7.831396,-0.049233,-1.495831,-9.703896
7.865270,-0.042648,-1.527555,-9.722003
7.899038,-0.056864,-1.503612,-9.713473
7.931551,-0.059259,-1.487750,-9.729934
7.964872,-0.031126,-1.516332,-9.761359
7.999449,-0.023344,-1.534588,-9.748340
8.031607,-0.067639,-1.522617,-9.707188
8.065270,-0.048035,-1.495831,-9.688483
8.099705,-0.064197,-1.512591,-9.741008
8.131535,-0.036214,-1.522617,-9.676512
8.165176,-0.061204,-1.493736,-9.705692
8.198648,-0.010924,-1.504809,-9.666336
8.232086,-0.055817,-1.519026,-9.710480
8.265033,-0.029330,-1.444503,-9.749388
8.297978,-0.065993,-1.488947,-9.647032
8.335212,-0.036962,-1.449891,-9.780364
8.365148,-0.086943,-1.483859,-9.669778
8.397882,-0.033221,-1.461114,-9.711678
8.432079,-0.036962,-1.492539,-9.714670
8.464908,-0.002993,-1.456924,-9.734274
8.499790,-0.047736,-1.457522,-9.716466
