time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.015557,2.501132,-7.054468,-7.060005
0.057158,1.642631,-7.032919,-7.465088
0.077544,1.121574,-6.447516,-7.802982
0.110875,0.576874,-6.034651,-8.170206
0.144576,0.019903,-5.975093,-9.088115
0.177527,-0.096969,-5.763648,-9.170868
0.210852,-0.633289,-4.057569,-7.759136
0.244210,-2.024968,-4.525801,-6.147931
0.277541,-0.143059,-5.863310,-7.388471
0.310876,2.898434,-8.248020,-5.281648
0.344169,-1.260443,-4.247914,-7.951428
0.377551,-2.205438,-4.789323,-8.044506
0.410865,-1.673008,-6.008015,-7.983900
0.444243,-2.086322,-5.808092,-7.209049
0.477624,-1.914382,-6.335433,-6.901233
0.510926,-2.286844,-6.441830,-6.827011
0.544232,-2.497990,-6.282310,-7.642864
0.577599,-1.308628,-5.174204,-8.379257
0.611114,0.869874,-3.723865,-9.355228
0.644806,1.719846,-3.976013,-8.713110
0.677685,0.772008,-4.256743,-8.602075
0.710982,0.427979,-4.110991,-9.141837
0.744264,0.696438,-3.428619,-9.976546
0.777612,1.406644,-2.744452,-9.741307
0.810994,1.409188,-3.108982,-10.321772
0.844331,-0.170443,-2.576103,-10.946830
0.878057,-0.235239,-1.181880,-10.330002
0.910955,0.436957,-2.091111,-10.274185
0.945878,0.567147,-1.896425,-10.383874
0.977657,0.503399,-2.404463,-8.917672
1.010981,0.002245,-2.560690,-8.211208
1.044800,-0.959211,-2.265445,-8.667768
1.077612,-1.735110,-2.344007,-8.965708
1.110938,-1.747081,-2.478536,-9.099189
1.144367,-0.986446,-2.983132,-10.041640
1.177664,-1.267925,-2.954700,-10.923486
1.210910,-1.751421,-2.773183,-11.104105
1.244350,-2.207832,-2.242549,-10.503139
1.282915,-2.040980,-1.894031,-9.133607
1.311044,-1.571401,-1.891337,-8.430584
1.344253,-0.603211,-1.770575,-7.858050
1.378016,-0.128094,-1.733314,-7.862540
1.411007,0.045791,-1.720894,-8.425048
1.444325,-0.206507,-1.872781,-9.514448
1.477889,-0.460900,-2.339368,-9.892746
1.510905,-0.696139,-2.582538,-10.197269
1.544325,-1.012035,-2.406259,-10.620609
1.579379,-1.314314,-2.265894,-10.365617
1.610946,-1.526059,-2.235516,-10.628241
1.644430,-1.069049,-2.255867,-10.910168
1.677839,0.016910,-2.635362,-10.400484
1.710960,0.736842,-2.743554,-10.348558
1.743364,0.920753,-2.722903,-10.803473
1.777648,1.213006,-2.576403,-10.304413
1.811493,0.762580,-2.708837,-8.490890
1.844302,0.160717,-2.905467,-8.276003
1.877849,0.059259,-2.488861,-8.846592
1.910948,0.343580,-1.920967,-9.174160
1.945475,0.690752,-2.019132,-9.204687
1.977662,0.473021,-1.476677,-9.201246
2.011187,0.313801,-1.264932,-8.543116
2.044248,0.504147,-2.133011,-7.964596
2.077575,0.921950,-2.780815,-8.162723
2.110990,0.882893,-3.375945,-9.499334
2.144975,0.693146,-2.081384,-11.607803
2.178004,0.437556,-1.348133,-12.080825
2.212681,0.274296,-1.560028,-10.712789
2.244195,0.120912,-1.957330,-9.116398
2.277551,0.097118,-1.807088,-8.084311
2.311079,0.004040,-1.538180,-7.956067
2.344490,0.005537,-1.351276,-8.709070
2.377644,-0.041900,-1.304737,-9.735471
2.412313,-0.377400,-1.441660,-10.675229
2.444229,-1.119778,-1.815618,-10.963441
2.477558,-1.609111,-1.811129,-10.470517
2.510952,-1.651011,-1.784492,-9.847104
2.544233,-1.831181,-1.862755,-9.553804
2.577606,-1.838663,-1.756808,-9.420472
2.612033,-1.851682,-2.014344,-9.384558
2.644281,-1.645324,-2.147077,-9.216359
2.680023,-1.855722,-1.380755,-9.699706
2.711735,-1.548954,-1.162127,-10.229293
2.744318,-1.027149,-1.468895,-10.006025
2.777703,-1.421009,-1.435974,-9.813136
2.810947,-1.531446,-0.885886,-9.744749
2.844804,-0.931527,-0.693595,-9.243594
2.877961,0.261277,-1.734511,-8.947002
2.911913,0.755248,-2.266492,-9.034843
2.944337,0.819145,-2.140493,-9.175806
2.978405,0.294797,-1.870088,-9.665139
3.010936,-0.380692,-1.378511,-9.703896
3.044304,-0.981658,-1.230813,-9.786050
3.077536,-1.721792,-1.210611,-9.935992
3.111184,-1.571850,-1.288875,-9.587474
3.146540,-0.775001,-0.986596,-9.028408
3.177544,-0.166253,-0.726068,-8.588308
3.210941,-1.480268,-0.358245,-8.669564
3.245633,-2.626234,-1.472187,-8.520669
3.277559,-1.038821,-1.801851,-7.766918
3.310941,-1.182927,-1.470392,-8.633351
3.345908,-2.385758,-1.669866,-9.717963
3.377623,-2.071208,-1.921415,-9.189424
3.412959,-2.021227,-1.723288,-9.836031
3.444305,-1.996985,-1.649813,-11.156929
3.477961,-1.715656,-1.369832,-10.260418
3.511663,-1.296656,-1.954636,-8.582472
3.545178,-0.587947,-3.420838,-8.459166
3.577664,-1.190260,-2.190623,-9.081531
3.611848,-0.096370,-1.776112,-9.721554
3.645290,0.352559,-2.197058,-9.951106
3.678551,-0.424387,-0.673543,-10.362475
3.712579,-0.060456,-1.573945,-10.364570
3.744445,0.022746,-0.738338,-10.944885
3.778237,-0.264120,-1.023408,-11.804434
3.811452,-0.829172,-1.975885,-12.360956
3.844560,-1.014130,-2.115652,-12.371731
3.878787,-2.134806,-0.635983,-12.939925
3.919129,-4.425989,-0.035765,-11.389325
3.944220,-4.622171,-0.337146,-9.258708
3.977601,-2.708238,-1.245478,-6.884922
4.011493,-1.407542,-2.457885,-6.958696
4.044216,-2.481828,-2.076446,-8.388535
4.077881,-3.007374,-2.501581,-9.395931
4.112497,-3.557911,-2.700756,-8.910190
4.145122,-2.920881,-1.537881,-7.909977
4.178242,-2.466116,-1.473684,-6.347704
4.211217,-2.714373,-3.440740,-4.726024
4.244918,-2.195861,-3.432959,-6.314783
4.278439,-1.670764,-5.160437,-8.545360
4.311447,-1.388687,-5.373978,-10.197269
4.345294,-1.126512,-4.093483,-14.599615
4.387452,-0.576574,-3.941146,-15.177985
4.410860,-1.158087,-4.643570,-13.846013
4.444669,-2.260057,-4.588801,-11.793510
4.477566,-2.061032,-4.366132,-10.372501
4.510877,-1.546859,-4.254648,-9.220849
4.544217,-1.545662,-3.168839,-9.105324
4.577729,-1.669866,-3.236178,-8.760098
4.613076,-2.191820,-3.975863,-8.286927
4.644530,-2.251079,-4.245370,-7.683267
4.678764,-1.938325,-4.299840,-7.483943
4.711620,-2.225939,-4.242826,-8.281390
4.744655,-3.917802,-4.337700,-8.855870
4.778925,-2.422121,-3.929025,-8.160928
4.811722,-2.098742,-4.368527,-8.085358
4.846548,-1.928598,-4.966200,-8.086406
4.878449,-1.840608,-5.484115,-7.416753
4.911665,-1.638590,-5.986167,-7.715141
4.945059,-1.817713,-5.874533,-7.709455
4.978303,-1.368485,-6.085530,-6.810400
5.012036,-0.935867,-6.082238,-6.491810
5.049181,-0.721429,-5.586022,-7.221320
5.077949,-0.433965,-5.126169,-7.684165
5.111732,0.304374,-5.408695,-7.676683
5.144874,-0.065544,-5.296762,-8.254604
5.179749,-0.378297,-5.632411,-8.463057
5.211738,-0.306319,-5.861814,-8.266426
5.245229,0.374706,-5.804650,-7.774101
5.279398,0.783082,-5.574649,-7.803281
5.312367,0.781435,-5.209969,-8.239640
5.345570,0.374556,-5.158492,-8.706825
5.379084,-0.084997,-5.454635,-8.851680
5.413500,-0.482748,-5.934091,-8.372673
5.445319,-0.342982,-6.128028,-7.997967
5.479158,0.698533,-6.506326,-7.271450
5.511722,1.184274,-6.369851,-7.525245
5.545363,1.114840,-5.934839,-8.067401
5.579185,1.173949,-5.941872,-8.090745
5.611857,1.195498,-6.139551,-7.856105
5.645391,0.934969,-6.211529,-7.878402
5.679880,0.864487,-5.781455,-8.098527
5.712558,0.786374,-5.827246,-8.147011
5.745526,0.842340,-6.135062,-7.965344
5.777215,0.877806,-6.162895,-7.692096
5.810802,1.482213,-6.512461,-7.228802
5.844257,1.765487,-6.140748,-7.510879
5.877641,1.456624,-5.845802,-7.818096
5.910922,0.906088,-5.976739,-7.454164
5.944255,0.578819,-5.432488,-7.661420
5.977565,0.660075,-5.535293,-7.946938
6.010892,0.547544,-5.792379,-7.813158
6.044890,0.583009,-6.184743,-7.519408
6.077629,0.477062,-6.003675,-7.328314
6.110972,0.438304,-5.870044,-7.142757
6.144415,0.548292,-5.970155,-6.779873
6.180514,1.337209,-6.894649,-5.702144
6.212247,1.790478,-7.028430,-6.006069
6.245583,0.646308,-6.988326,-7.687308
6.278552,-0.230300,-7.980458,-8.499270
6.312419,-0.423340,-6.944929,-7.479753
6.346941,0.220723,-4.602418,-6.662703
6.379226,0.129890,-4.416562,-6.952561
6.414647,0.926290,-5.290028,-7.919105
6.446839,0.732951,-4.375111,-9.779466
6.478878,1.297704,-3.920496,-10.314140
6.513563,1.531296,-3.312496,-10.105987
6.545600,1.553144,-3.557013,-9.036189
6.577561,2.092008,-3.178416,-9.288936
6.613006,1.705780,-2.916840,-9.785751
6.646880,1.142374,-3.447773,-9.780214
6.677673,0.389820,-3.716532,-10.377589
6.711031,0.087242,-3.377142,-10.118108
6.744302,-0.051477,-3.864679,-9.467909
6.777703,0.629698,-4.355208,-9.033945
6.810961,-0.140066,-4.123112,-9.279509
6.844378,-0.118816,-3.849415,-9.827501
6.877642,0.181367,-4.245969,-9.647181
6.911057,0.238381,-3.964940,-9.697162
6.944385,0.795652,-3.355444,-9.254967
6.977917,1.308628,-3.103146,-8.282587
7.011029,1.715806,-2.798622,-7.782331
7.044318,2.236115,-2.747893,-8.397364
7.077692,2.534503,-3.036405,-8.770124
7.110986,2.399525,-3.184103,-8.675849
7.144968,2.184338,-2.985975,-8.529049
7.190427,-0.229552,-2.437384,-8.650260
7.210979,-0.210548,-2.584932,-8.912435
7.244250,-1.243383,-3.771451,-8.804991
7.277600,-1.492090,-4.073880,-8.553890
7.311212,-0.368571,-3.756337,-8.984712
7.344261,1.244431,-2.534802,-9.230725
7.377755,0.649301,-2.321261,-8.999976
7.410979,0.157275,-1.794518,-9.061329
7.444375,-0.045940,-1.044358,-10.001686
7.477658,-0.682372,-0.638078,-10.479795
7.511253,-1.787335,-0.529287,-10.281368
7.544326,-1.757856,-1.210911,-9.824209
7.577599,-0.763927,-0.935418,-9.745347
7.611179,-0.577921,-0.542007,-9.982382
7.644309,-0.590341,0.536320,-9.974750
7.677681,-0.610394,0.018406,-9.597051
7.710990,-1.569156,-0.127197,-10.139357
7.744310,-1.460964,0.233892,-11.215440
7.777612,-1.485506,0.095921,-11.348472
7.810979,-0.492176,-0.160268,-10.585143
7.844324,0.460900,-0.487237,-9.736219
7.877668,0.715892,0.866732,-8.603123
7.910931,1.191457,0.720680,-9.421969
7.944329,1.192654,0.727564,-9.292228
