time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.031334,0.736692,-1.073838,-10.192780
0.063859,0.672196,-0.906238,-9.954398
0.096982,0.716939,-0.821240,-9.011349
0.130572,1.066954,-0.514173,-10.132174
0.163948,0.749562,-0.874962,-10.848365
0.197235,0.601565,-0.937663,-9.736219
0.229622,0.686412,-0.660973,-9.006710
0.263859,0.870174,-0.336996,-10.019792
0.297365,0.635534,-0.378297,-9.930605
0.330512,1.012035,-0.212643,-10.312494
0.363835,1.096135,-0.077216,-9.639250
0.397239,0.677134,-0.247509,-9.291929
0.430589,0.931078,-0.130189,-10.030866
0.463862,0.644213,-0.152636,-9.717214
0.496524,0.613386,-0.128843,-9.327544
0.530569,0.505943,-0.042798,-9.194512
0.563831,0.763478,-0.260528,-10.438942
0.597237,0.503249,-0.401342,-10.667896
0.630735,0.183911,-0.340288,-9.964873
0.663850,0.603360,0.203514,-10.033111
0.697225,0.640322,0.254692,-9.805354
0.730491,0.637030,0.084548,-9.574605
0.763834,0.698533,-0.259481,-9.692972
0.797141,0.656933,-0.488584,-9.787098
0.830566,0.584206,-0.553978,-9.636557
0.863891,0.613386,-0.471675,-9.715568
0.897224,0.226559,-0.325024,-7.447430
0.930919,-0.306618,-0.571187,-6.831051
0.963844,1.029992,0.266963,-12.580333
0.997147,0.880050,-0.031126,-8.912435
1.030581,0.661571,-0.634037,-8.559128
1.063819,0.508487,-0.979712,-9.626381
1.097136,0.402390,-1.004703,-10.744663
1.130459,0.922698,-0.371264,-10.089376
1.163848,0.707961,-0.302428,-9.686987
1.197242,0.578520,0.127496,-9.297316
1.229912,0.823635,0.984950,-9.899330
1.263841,0.720381,0.532579,-9.634761
1.297177,0.703621,-0.054769,-9.421071
1.330522,0.796998,-0.442494,-10.396743
1.363874,0.567596,-0.352708,-10.661012
1.396348,0.092030,0.319937,-9.561586
1.430519,0.394309,-0.597375,-9.308390
1.463838,0.846381,-0.666959,-10.283014
1.497234,0.983154,-0.222968,-10.631084
1.530464,0.694044,-0.310060,-9.943624
1.563900,0.355402,-0.636132,-9.354330
1.597256,0.354055,-1.003805,-9.771385
1.630508,0.682970,-0.750759,-9.707488
1.663971,0.743725,-0.615332,-9.390095
1.697190,0.986147,-0.749412,-9.196008
1.730502,1.354269,-0.829172,-9.370342
1.763829,1.108106,-0.426782,-9.005513
1.797366,1.084462,-0.613835,-9.975797
1.830507,1.125914,-0.285668,-10.313841
1.863797,0.842340,0.398948,-10.523640
1.897172,0.751657,0.598572,-9.826005
1.930515,0.890525,0.336697,-9.583883
1.963853,1.130852,0.246312,-9.478384
1.997165,1.209115,-0.359742,-9.903520
2.030509,0.812860,-1.573945,-10.213730
2.063855,0.547992,-1.570203,-9.381266
2.097181,0.431720,-1.422207,-9.394883
2.130506,0.817799,-1.018021,-9.875237
2.163749,0.761533,-0.197529,-10.017697
2.197083,0.586002,-0.042349,-9.666186
2.230033,0.686263,0.868827,-9.552757
2.263763,1.030292,0.421694,-9.409997
2.297094,1.337958,-0.068088,-10.352449
2.330429,1.155543,0.031425,-10.777884
2.363788,0.902197,0.033071,-9.904717
2.397035,0.673992,0.281179,-9.176105
2.430511,0.430972,0.389221,-9.489757
2.463796,0.113878,-0.139467,-9.836629
2.497251,0.049382,-0.174334,-10.034906
2.530474,0.323678,-0.289409,-9.913696
2.563845,0.523601,0.634037,-9.126873
2.596790,-0.083950,0.081256,-9.624436
2.629662,0.366775,-0.183313,-10.147288
2.663839,0.471525,0.316944,-10.775489
2.696594,0.402839,0.271303,-10.765463
