time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.017171,0.115973,-2.248535,-9.973553
0.048248,0.132284,-2.351340,-9.917736
0.080963,0.089337,-2.620847,-9.895738
0.114306,0.078862,-2.626683,-9.633564
0.147643,0.167002,-2.204390,-9.853539
0.180942,0.106546,-2.234169,-9.516094
0.215357,0.184809,-2.060434,-9.501130
0.247749,0.187802,-2.430351,-9.477486
0.281134,0.184659,-2.221599,-9.483472
0.314301,0.161614,-2.235217,-9.282202
0.347742,0.240327,-2.564282,-9.387551
0.381008,0.277588,-2.513852,-9.652569
0.414352,0.362735,-2.219205,-9.266789
0.447651,0.248856,-2.007011,-9.504123
0.481074,0.274595,-2.211573,-9.953501
0.514466,0.318291,-1.927850,-9.536446
0.547673,0.280431,-1.875924,-9.009703
0.581395,0.216084,-2.205438,-9.424064
0.614583,0.178674,-2.188528,-9.407304
0.647947,0.191842,-2.059386,-9.565028
0.680936,0.250802,-2.436038,-9.885263
0.714282,0.181816,-2.209029,-9.713773
0.749826,0.160268,-2.102633,-9.566823
0.781026,0.159070,-2.491405,-9.863116
0.814378,0.137971,-2.577151,-9.712127
0.847996,0.319787,-1.894480,-9.661248
0.880996,0.100710,-2.333831,-10.275981
0.914267,0.101159,-2.810594,-9.799368
0.947684,0.384433,-2.147825,-9.991959
0.981179,0.069734,-2.704198,-9.237609
1.014305,0.066441,-2.589422,-9.441572
1.047739,0.147548,-2.458035,-9.900078
1.081023,0.302428,-2.224592,-10.130977
1.114368,0.360939,-2.347000,-9.933897
1.147714,0.276391,-2.181495,-9.417779
1.180921,0.127496,-2.510859,-9.203341
1.214822,0.148895,-2.328444,-9.356276
1.247689,0.151289,-2.559493,-9.306145
1.281331,0.286117,-2.651673,-9.423765
1.314283,0.137971,-2.418230,-9.493349
1.347695,0.099363,-2.629376,-9.517890
1.381021,0.156078,-2.702252,-9.759863
1.414604,0.199324,-2.246440,-9.735920
1.447682,0.234939,-2.275171,-9.566225
1.481078,0.265616,-2.018683,-9.629524
1.514291,0.203963,-2.205587,-9.498736
1.547872,0.229403,-2.090213,-9.517740
1.581991,0.278785,-2.136003,-9.549764
1.614343,0.198875,-1.984565,-9.322456
1.647717,0.137073,-2.370644,-9.005662
1.681149,0.242571,-2.225041,-9.012845
1.714370,0.249006,-2.545726,-9.612015
1.747692,0.256039,-2.198554,-9.554702
1.781036,0.225512,-2.392342,-9.697910
1.815465,0.141263,-2.263350,-9.243594
1.847871,0.194087,-2.322159,-9.468508
1.881002,0.238681,-2.340116,-9.645984
1.914387,0.325922,-2.178951,-9.735172
1.947803,0.164607,-2.459531,-9.722602
1.981036,0.075570,-2.522980,-9.627129
2.014318,0.104750,-2.870750,-9.598548
2.047855,0.258134,-2.354931,-9.703896
2.084032,0.150690,-2.774979,-9.588821
2.115077,0.040404,-2.956496,-9.516543
2.147758,0.032024,-2.868955,-9.189124
2.180960,0.246761,-2.510859,-9.727091
2.214377,0.295694,-2.368100,-9.837677
2.247691,0.183013,-2.673222,-9.867306
2.281041,0.226260,-2.279212,-9.730233
2.314638,0.210398,-2.194514,-9.288637
2.347788,0.083501,-2.286395,-9.229678
2.381468,0.228954,-2.176407,-9.107569
2.414333,0.122258,-2.723352,-9.251526
2.447816,0.163560,-2.310188,-9.273972
2.481021,0.261277,-2.114455,-9.522379
2.514337,0.227008,-2.605284,-9.563381
2.547693,0.271003,-2.398178,-9.611118
